input,angle,magnitude,start_delay_ms,duration_ms,start_after_id,id
b,,,50,500,,run_after_start_moving
ls,0,100,0,1400,start,position_for_run
ls,270,100,0,5900,,go_to_alley
ls,0,100,0,3350,,run_into_alley
ls,268,100,0,650,,go_to_ladder
ls,0,0,0,50,,stop_moving_to_ladder
lb,,,0,50,,face_ladder_bc_game_does_not_always_register_ladder_click
a,,,300,50,,click_ladder
ls,0,100,0,8000,,climb_ladder
b,,,300,500,,start_running_when_running_towards_mons
ls,90,100,0,1300,climb_ladder,run_towards_mons
ls,180,100,0,1000,,run_at_mons
ls,0,0,0,100,,stop_moving_for_menu
+,,,300,50,,open_menu_to_go_back
ls,90,30,250,100,,move_cursor_to_area
ls,0,0,0,50,,got_to_area
a,,,200,50,,select_area
a,,,900,50,,confirm_area
b,,,4050,500,,run_after_start_moving_2
ls,90,100,4000,3200,confirm_area,run_towards_bench
ls,180,100,0,1000,,run_at_bench
ls,0,0,0,50,,reset
