input,angle,magnitude,start_delay_ms,duration_ms,start_after_id,id
ls,0,0,0,8000,,spam_time_gate_pre
a,,,0,50,start,spam_pre
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
ls,0,0,0,6500,spam_time_gate_pre,spam_time_gate_post
a,,,0,50,spam_time_gate_pre,spam_post
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
a,,,50,50,,
